Trial_no;Filename;Transcription;Duration(ms.);SOT;Modality_Correct;Item_Correct;Hesitation;Notes;Exclude
274;recording_V1L1_p000101_tr274_type_cartero;[type];3010;0;1;;0;;
275;recording_V1L1_p000101_tr275_speak_mano;mano;422.652;913.166;1;1;0;;0
276;recording_V1L1_p000101_tr276_type_guante;[type];3050;0;1;;0;;
277;recording_V1L1_p000101_tr277_type_guante;[type];3040;0;1;;0;;
278;recording_V1L1_p000101_tr278_speak_pintor;pintor;546.652;929;1;1;0;;0
279;recording_V1L1_p000101_tr279_type_taza;[type];3040;0;0;;0;[/ta:θ/ type], spoke first, typed then;1
280;recording_V1L1_p000101_tr280_type_taza;[type];3000;0;1;;0;;
281;recording_V1L1_p000101_tr281_speak_aguja;aguja;685.82;1000.26;1;1;0;;0
282;recording_V1L1_p000101_tr282_type_regalo;[type];3000;0;1;;0;;
283;recording_V1L1_p000101_tr283_speak_regalo;regalo;655.636;776.76;1;1;0;tongue, breath after;0
284;recording_V1L1_p000101_tr284_speak_baño;baño;478.628;859.117;1;1;0;tongue;0
285;recording_V1L1_p000101_tr285_speak_baño;baño;451.819;707.425;1;1;0;tongue;0
286;recording_V1L1_p000101_tr286_type_conejo;[type];3010;0;1;;0;sigh;
287;recording_V1L1_p000101_tr287_speak_miel;miel;446.001;1144;1;1;0;;0
288;recording_V1L1_p000101_tr288_speak_camisa;camisa;544.512;1081;1;1;0;;0
289;recording_V1L1_p000101_tr289_type_camisa;[type];3050;0;1;;0;;
290;recording_V1L1_p000101_tr290_type_vaca;[type];3050;0;1;;0;;
291;recording_V1L1_p000101_tr291_speak_vaca;vaca;489.376;779.63;1;1;0;;0
292;recording_V1L1_p000101_tr292_type_goma;[type];3000;0;1;;0;;
293;recording_V1L1_p000101_tr293_speak_pulpo;pulpo;463.293;1056;1;1;0;;0
294;recording_V1L1_p000101_tr294_speak_pulpo;pulpo;488;849;1;1;0;;0
295;recording_V1L1_p000101_tr295_type_iglesia;[type];3050;0;1;;0;;
296;recording_V1L1_p000101_tr296_speak_guante;guante ;532.259;942.966;1;1;0;;0
297;recording_V1L1_p000101_tr297_speak_pierna;pierna;487.915;915.622;1;1;0;;0
298;recording_V1L1_p000101_tr298_type_pierna;[type];3010;0;1;;0;;
299;recording_V1L1_p000101_tr299_speak_tenedor;tenedor;506.171;1242.177;1;1;0;;0
300;recording_V1L1_p000101_tr300_type_oreja;[type];3040;0;1;;0;;
301;recording_V1L1_p000101_tr301_speak_columna;columna;596.144;1192;1;1;0;tongue;0
302;recording_V1L1_p000101_tr302_type_cartero;[type];3000;0;1;;0;;
303;recording_V1L1_p000101_tr303_type_bombero;[type];3000;0;1;;0;;
304;recording_V1L1_p000101_tr304_type_bombero;[type];3000;0;1;;0;;
305;recording_V1L1_p000101_tr305_speak_cadena;cadena;510.32;1091.122;1;1;0;;0
306;recording_V1L1_p000101_tr306_type_escoba;[type];3010;0;1;;0;;
307;recording_V1L1_p000101_tr307_type_pierna;[type];3040;0;1;;0;;
308;recording_V1L1_p000101_tr308_speak_taza;taza;412.136;1081;1;1;0;;0
309;recording_V1L1_p000101_tr309_speak_pavo;pavo;347.238;1105;1;1;0;;0
310;recording_V1L1_p000101_tr310_speak_pavo;pavo;365.055;649;1;1;0;;0
311;recording_V1L1_p000101_tr311_type_vaca;[type];3040;0;1;;0;;
312;recording_V1L1_p000101_tr312_speak_espalda;espalda;723.412;749.828;1;1;0;;0
313;recording_V1L1_p000101_tr313_speak_espalda;espalda;808.463;603.499;1;1;0;;0
314;recording_V1L1_p000101_tr314_type_pulpo;[type];3040;0;1;;0;;
315;recording_V1L1_p000101_tr315_speak_vaso;vaso;470.558;928;1;1;0;;0
316;recording_V1L1_p000101_tr316_type_vaso;[type];3010;0;1;;0;;
317;recording_V1L1_p000101_tr317_type_regalo;[type];3040;0;1;;0;;
318;recording_V1L1_p000101_tr318_type_traje;[type];3000;0;1;;0;;
319;recording_V1L1_p000101_tr319_speak_traje;traje;464.258;838.46;1;1;0;;0
320;recording_V1L1_p000101_tr320_speak_fresa;fresa;657.276;719.724;1;1;0;;0
321;recording_V1L1_p000101_tr321_type_fresa;[type];3050;0;1;;0;;
322;recording_V1L1_p000101_tr322_type_bombero;[type];3040;0;1;;0;;
323;recording_V1L1_p000101_tr323_speak_camisa;camisa;515.298;816.67;1;1;0;;0
324;recording_V1L1_p000101_tr324_type_muñeca;[type];3010;0;1;;0;;
325;recording_V1L1_p000101_tr325_type_muñeca;[type];3040;0;1;;0;;
326;recording_V1L1_p000101_tr326_speak_baño;baño;536.854;857;1;1;0;;0
327;recording_V1L1_p000101_tr327_type_puente;[type];3040;0;1;;0;;
328;recording_V1L1_p000101_tr328_type_puente;[type];3010;0;1;;0;;
329;recording_V1L1_p000101_tr329_type_cazador;[type];3040;0;1;;0;;
330;recording_V1L1_p000101_tr330_speak_cazador;cazador;531.537;872;1;1;0;;0
331;recording_V1L1_p000101_tr331_type_pavo;[type];3000;0;1;;0;;
332;recording_V1L1_p000101_tr332_type_falda;[type];3000;0;1;;0;;
333;recording_V1L1_p000101_tr333_type_falda;[type];3010;0;1;;0;;
334;recording_V1L1_p000101_tr334_speak_puente;puente;399.825;1600.091;1;1;0;;0
335;recording_V1L1_p000101_tr335_type_cuerda;[type];3010;0;1;;0;;
336;recording_V1L1_p000101_tr336_type_cuerda;[type];3050;0;1;;0;;
337;recording_V1L1_p000101_tr337_type_espalda;[type];3050;0;1;;0;;
338;recording_V1L1_p000101_tr338_speak_tenedor;tenedor;435.798;1329;1;1;0;;0
339;recording_V1L1_p000101_tr339_type_vaso;[type];3050;0;1;;0;;
340;recording_V1L1_p000101_tr340_type_manzana;[type];3050;0;1;;0;;
341;recording_V1L1_p000101_tr341_speak_manzana;manzana;594.524;894.476;1;1;0;;0
342;recording_V1L1_p000101_tr342_speak_traje;traje;466.768;1193;1;1;0;;0
343;recording_V1L1_p000101_tr343_speak_caracol;caracol;564.025;1296;1;1;0;tongue;0
344;recording_V1L1_p000101_tr344_type_caracol;[type];3000;0;1;;0;;
345;recording_V1L1_p000101_tr345_type_fresa;[type];3000;0;1;;0;;
346;recording_V1L1_p000101_tr346_type_cerdo;[type];3010;0;1;;0;;
347;recording_V1L1_p000101_tr347_speak_cerdo;cerdo;607.936;865.397;1;1;0;;0
348;recording_V1L1_p000101_tr348_speak_mano;mano;453.963;994.037;1;1;0;;0
349;recording_V1L1_p000101_tr349_speak_mano;mano;371.354;772.646;1;1;0;;0
350;recording_V1L1_p000101_tr350_type_muñeca;[type];3000;0;1;;0;;
351;recording_V1L1_p000101_tr351_speak_granja;granja;512.957;1248.053;1;1;0;;0
352;recording_V1L1_p000101_tr352_speak_granja;granja;572.786;689.283;1;1;0;;0
353;recording_V1L1_p000101_tr353_type_tronco;[type];3000;0;1;;0;;
354;recording_V1L1_p000101_tr354_speak_cazador;cazador;634.718;1136;1;1;0;tongue, tech sound after;0
355;recording_V1L1_p000101_tr355_speak_pintor;pintor;497.5;944;1;1;0;;0
356;recording_V1L1_p000101_tr356_type_pintor;[type];3010;0;1;;0;;
357;recording_V1L1_p000101_tr357_speak_columna;columna;574.504;1239.646;1;1;0;;0
358;recording_V1L1_p000101_tr358_type_oreja;[type];3050;0;1;;0;;
359;recording_V1L1_p000101_tr359_speak_oreja;oreja;501.988;1134.68;1;1;0;;0
360;recording_V1L1_p000101_tr360_speak_falda;/fal[da]/;145;2865;1;;0;item accuracy from the back-up file, included, NR duration;0
361;recording_V1L1_p000101_tr361_speak_guante;guante;518.385;871.073;1;1;0;tech sound beginning;0
362;recording_V1L1_p000101_tr362_type_guante;[type];3010;0;1;;0;;
363;recording_V1L1_p000101_tr363_type_cuerda;[/cuer../ type];144;2896;0;;0;typed correctly, then spoke towards the end of the trial;1
364;recording_V1L1_p000101_tr364_type_conejo;[type];3010;0;1;;0;tech sound beginning;
365;recording_V1L1_p000101_tr365_speak_conejo;conejo;463.698;1400;1;1;0;;0
366;recording_V1L1_p000101_tr366_type_manzana;[type];3000;0;1;;0;;
367;recording_V1L1_p000101_tr367_speak_cartero;cartero;513.019;1105;1;1;0;tongue;0
368;recording_V1L1_p000101_tr368_speak_cartero;cartero;526.088;864;1;1;0;;0
369;recording_V1L1_p000101_tr369_speak_caracol;caracol;532.724;1748.636;1;1;0;;0
370;recording_V1L1_p000101_tr370_type_cerdo;[type];3010;0;1;;0;;
371;recording_V1L1_p000101_tr371_speak_miel;miel;429.354;1312;1;1;0;;0
372;recording_V1L1_p000101_tr372_speak_miel;miel;432.24;1175.76;1;1;0;;0
373;recording_V1L1_p000101_tr373_speak_iglesia;iglesia;678.654;1002.346;1;1;0;;0
374;recording_V1L1_p000101_tr374_type_iglesia;[type];3040;0;1;;0;;
375;recording_V1L1_p000101_tr375_speak_granja;granja;515.767;1305.812;1;1;0;;0
376;recording_V1L1_p000101_tr376_type_mano;[type];3040;0;1;;0;;
377;recording_V1L1_p000101_tr377_type_goma;[type];3000;0;1;;0;;
378;recording_V1L1_p000101_tr378_type_goma;[type];3010;0;1;;0;;
379;recording_V1L1_p000101_tr379_speak_pintor;pintor;464.016;904;1;1;0;;0
380;recording_V1L1_p000101_tr380_type_aguja;[type];3000;0;1;;0;;
381;recording_V1L1_p000101_tr381_type_aguja;[type];3000;0;1;;0;;
382;recording_V1L1_p000101_tr382_type_guante;[type];3010;0;1;;0;;
383;recording_V1L1_p000101_tr383_speak_espejo;espejo;617.395;792.243;1;1;0;;0
384;recording_V1L1_p000101_tr384_speak_goma;goma;443.729;1829.218;1;1;0;;0
385;recording_V1L1_p000101_tr385_type_regalo;[type];3010;0;1;;0;;
386;recording_V1L1_p000101_tr386_type_regalo;[type];3040;0;1;;0;;
387;recording_V1L1_p000101_tr387_type_pierna;[type];3010;0;1;;0;;
388;recording_V1L1_p000101_tr388_speak_pierna;pierna;555.436;1056.925;1;1;0;;0
389;recording_V1L1_p000101_tr389_type_conejo;[type];3010;0;1;;0;;
390;recording_V1L1_p000101_tr390_speak_camisa;camisa;489.403;1072;1;1;0;;0
391;recording_V1L1_p000101_tr391_speak_camisa;camisa;544;745;1;1;0;/ts/ sound before word production;0
392;recording_V1L1_p000101_tr392_speak_vaca;vaca;456.292;960.708;1;1;0;;0
393;recording_V1L1_p000101_tr393_type_vaca;[type];3040;0;1;;0;;
394;recording_V1L1_p000101_tr394_speak_cartero;cartero;520.632;1112;1;;0;;
395;recording_V1L1_p000101_tr395_type_taza;[type];3000;0;1;;0;;
396;recording_V1L1_p000101_tr396_speak_taza;taza;376;904;1;1;0;;0
397;recording_V1L1_p000101_tr397_type_cadena;[type];3010;0;1;;0;;
398;recording_V1L1_p000101_tr398_speak_miel;miel;386.839;1057;1;1;0;;0
399;recording_V1L1_p000101_tr399_speak_bombero;bombero;654.802;944.818;1;1;0;;0
400;recording_V1L1_p000101_tr400_speak_bombero;bombero;573.271;824.27;1;1;0;tongue;0
401;recording_V1L1_p000101_tr401_type_iglesia;[type];3000;0;1;;0;;
402;recording_V1L1_p000101_tr402_speak_oreja;oreja;560;816;1;1;0;tongue;0
403;recording_V1L1_p000101_tr403_speak_pulpo;pulpo;560;1312;1;1;0;breath before, tech sound after;0
404;recording_V1L1_p000101_tr404_type_pulpo;[type];3000;0;1;;0;;
405;recording_V1L1_p000101_tr405_speak_escoba;escoba;527.173;1545.994;1;1;0;breath before;0
406;recording_V1L1_p000101_tr406_type_aguja;[type];3050;0;1;;0;;
407;recording_V1L1_p000101_tr407_type_baño;[type];3040;0;1;;0;;
408;recording_V1L1_p000101_tr408_type_baño;[type];3010;0;1;;0;;
