line	trial_count	RT	Duration	tmin	tier	text	tmax		
3		1166167	1873833	1.166.167	silences	silent	3.040.000		
6		1166167	1873833	1.166.167	transcription	[breath]	3.040.000		
1	20	0	#VALUE!	0	silences	silent	0.956865		
4		0	#VALUE!	0	transcription	?	0.956865		
2		0,957	0,642	0,957	silences	sounding	1,599		
5		0.956865	#VALUE!	0.956865	transcription	puente	1.599.301		
3		1599301	1400699	1.599.301	silences	silent	3.000.000		
6		1599301	1400699	1.599.301	transcription	[breath]	3.000.000		
1	21	0	3000000	0	silences	sounding	3.000.000		
2		0	3	0	transcription	[type]	3		
1	22	0	1207673	0	silences	silent	1.207.673		
4		0	1207673	0	transcription	articulation	1.207.673		
2		1,208	0,63	1,208	silences	sounding	1,837		
5		1207673	629699	1.207.673	transcription	caracol	1.837.372		
3		1837372	1162628	1.837.372	silences	silent	3.000.000		
6		1837372	1162628	1.837.372	transcription	?	3.000.000		
1	23	0	#VALUE!	0	silences	silent	0.729548		
4		0	#VALUE!	0	transcription	[articulation]	0.729548		
2		0,73	0,582	0,73	silences	sounding	1,311		
5		0.729548	#VALUE!	0.729548	transcription	caracol	1.311.128		
3		1311128	1698872	1.311.128	silences	silent	3.010.000		
6		1311128	1698872	1.311.128	transcription	?	3.010.000		
1	24	0	3040000	0	silences	sounding	3.040.000		
2		0	3,04	0	transcription	[type]	3,04		
1	25	0	#VALUE!	0	silences	silent	0.919073		
4		0	#VALUE!	0	transcription	[breath]	0.919073		
2		0,919	0,594	0,919	silences	sounding	1,513		
5		0.919073	#VALUE!	0.919073	transcription	pintor	1.513.048		
3		1513048	1486952	1.513.048	silences	silent	3.000.000		
6		1513048	1486952	1.513.048	transcription	[breath]	3.000.000		
1	26	0	#VALUE!	0	silences	silent	0.632000		
4		0	#VALUE!	0	transcription	[tongue]	0.632000		
2		0,632	0,536	0,632	silences	sounding	1,168		
5		0.632000	#VALUE!	0.632000	transcription	pintor	1.168.219		
3		1168219	1831781	1.168.219	silences	silent	3.000.000		
6		1168219	1831781	1.168.219	transcription	?	3.000.000		
1	27	0	#VALUE!	0	silences	silent	0.651288		
4		0	#VALUE!	0	transcription	[breath]	0.651288		
2		0,651	0,5	0,651	silences	sounding	1,151		
5		0.651288	#VALUE!	0.651288	transcription	mano	1.151.247		
3		1151247	1848753	1.151.247	silences	silent	3.000.000		
6		1151247	1848753	1.151.247	transcription	?	3.000.000		
1	28	0	3010000	0	silences	sounding	3.010.000		
2		0	3,01	0	transcription	[type]	3,01		
1	29	0	3040000	0	silences	sounding	3.040.000		
2		0	3,04	0	transcription	[type]	3,04		
1	30	0	#VALUE!	0	silences	silent	0.706899		
4		0	#VALUE!	0	transcription	[tongue]	0.706899		
2		0,707	0,41	0,707	silences	sounding	1,117		
5		0.706899	#VALUE!	0.706899	transcription	pavo	1.117.256		
3		1117256	1892744	1.117.256	silences	silent	3.010.000		
6		1117256	1892744	1.117.256	transcription	[breath]	3.010.000		
