line;trial_no;RT;Duration;tmin;tier;text;tmax
5;;0.643412;0.548059;0.643412;transcription;fresa;1.191471
3;;1.191471;1.848529;1.191471;silences;silent;3.04
6;;1.191471;1.848529;1.191471;transcription;?;3.04
1;17;0;0.929;0;silences;silent;0.929
4;;0;0.929;0;transcription;?;0.929
2;;0.929;0.462981;0.929;silences;sounding;1.391981
5;;0.929;0.462981;0.929;transcription;puente;1.391981
3;;1.391981;1.618019;1.391981;silences;silent;3.01
6;;1.391981;1.618019;1.391981;transcription;?;3.01
1;18;0;3.04;0;silences;sounding;3.04
2;;0;3.04;0;transcription;[type];3.04
1;19;0;1.551654;0;silences;silent;1.551654
4;;0;1.551654;0;transcription;?;1.551654
2;;1.551654;0.464889;1.551654;silences;sounding;2.016543
5;;1.551654;0.464889;1.551654;transcription;baño;2.016543
3;;2.016543;0.983457;2.016543;silences;silent;3
6;;2.016543;0.983457;2.016543;transcription;?;3
1;20;0;3;0;silences;sounding;3
2;;0;3;0;transcription;[type];3
1;21;0;3;0;silences;sounding;3
2;;0;3;0;transcription;[type];3
1;22;0;3.04;0;silences;sounding;3.04
2;;0;3.04;0;transcription;[type];3.04
1;23;0;0.64;0;silences;silent;0.64
4;;0;0.64;0;transcription;?;0.64
2;;0.64;0.598803;0.64;silences;sounding;1.238803
5;;0.64;0.598803;0.64;transcription;camisa;1.238803
3;;1.238803;1.761197;1.238803;silences;silent;3
6;;1.238803;1.761197;1.238803;transcription;?;3
1;24;0;1.257936;0;silences;silent;1.257936
4;;0;1.257936;0;transcription;?;1.257936
2;;1.257936;0.683793;1.257936;silences;sounding;1.941729
5;;1.257936;0.683793;1.257936;transcription;regalo;1.941729
3;;1.941729;1.068271;1.941729;silences;silent;3.01
6;;1.941729;1.068271;1.941729;transcription;?;3.01
1;25;0;0.829301;0;silences;silent;0.829301
4;;0;0.829301;0;transcription;?;0.829301
2;;0.829301;0.541254;0.829301;silences;sounding;1.370555
5;;0.829301;0.541254;0.829301;transcription;regalo;1.370555
3;;1.370555;1.669445;1.370555;silences;silent;3.04
6;;1.370555;1.669445;1.370555;transcription;?;3.04
1;26;0;3.01;0;silences;sounding;3.01
2;;0;3.01;0;transcription;[type];3.01
1;27;0;1.189307;0;silences;silent;1.189307
4;;0;1.189307;0;transcription;?;1.189307
2;;1.189307;0.493108;1.189307;silences;sounding;1.682415
5;;1.189307;0.493108;1.189307;transcription;conejo;1.682415
3;;1.682415;1.367585;1.682415;silences;silent;3.05
6;;1.682415;1.367585;1.682415;transcription;?;3.05
1;28;0;1.345458;0;silences;silent;1.345458
4;;0;1.345458;0;transcription;?;1.345458
2;;1.345458;0.726525;1.345458;silences;sounding;2.071983
5;;1.345458;0.726525;1.345458;transcription;bombero;2.071983
3;;2.071983;0.968017;2.071983;silences;silent;3.04
6;;2.071983;0.968017;2.071983;transcription;?;3.04
1;29;0;3;0;silences;sounding;3
2;;0;3;0;transcription;[type];3
1;30;0;3.01;0;silences;sounding;3.01
2;;0;3.01;0;transcription;[type];3.01
