line;trial_no;RT;Duration;tmin;tier;text;tmax;Column1
5;;0.538784;0.843341;0.538784;transcription;espalda;1.382125;
3;;1.382125;1.667875;1.382125;silences;silent;3.05;
6;;1.382125;1.667875;1.382125;transcription;?;3.05;
1;19;0;1.176;0;silences;silent;1.176;
4;;0;1.176;0;transcription;?;1.176;
2;;1.176;0.480735;1.176;silences;sounding;1.656735;
5;;1.176;0.480735;1.176;transcription;puente;1.656735;
3;;1.656735;1.383265;1.656735;silences;silent;3.04;
6;;1.656735;1.383265;1.656735;transcription;?;3.04;
1;20;0;3;0;silences;sounding;3;
2;;0;3;0;transcription;[type];3;
1;21;0;3.01;0;silences;sounding;3.01;
2;;0;3.01;0;transcription;[type];3.01;
1;22;0;1.208;0;silences;silent;1.208;
4;;0;1.208;0;transcription;[tongue];1.208;
2;;1.208;0.451187;1.208;silences;sounding;1.659187;
5;;1.208;0.451187;1.208;transcription;cadena;1.659187;
3;;1.659187;1.340813;1.659187;silences;silent;3;
6;;1.659187;1.340813;1.659187;transcription;?;3;
1;23;0;1.412745;0;silences;silent;1.412745;
4;;0;1.412745;0;transcription;?;1.412745;
2;;1.412745;0.47938;1.412745;silences;sounding;1.892125;
5;;1.412745;0.47938;1.412745;transcription;fresa;1.892125;
3;;1.892125;1.147875;1.892125;silences;silent;3.04;
6;;1.892125;1.147875;1.892125;transcription;?;3.04;
1;24;0;1.009;0;silences;silent;1.009;
4;;0;1.009;0;transcription;?;1.009;
2;;1.009;0.449831;1.009;silences;sounding;1.458831;
5;;1.009;0.449831;1.009;transcription;puente;1.458831;
3;;1.458831;1.551169;1.458831;silences;silent;3.01;
6;;1.458831;1.551169;1.458831;transcription;?;3.01;
1;25;0;1.113;0;silences;silent;1.113;
4;;0;1.113;0;transcription;?;1.113;
2;;1.113;0.520737;1.113;silences;sounding;1.633737;
5;;1.113;0.520737;1.113;transcription;puente;1.633737;
3;;1.633737;1.416263;1.633737;silences;silent;3.05;
6;;1.633737;1.416263;1.633737;transcription;?;3.05;
1;26;0;3.04;0;silences;sounding;3.04;
2;;0;3.04;0;transcription;[type];3.04;
1;27;0;1.900556;0;silences;silent;1.900556;
4;;0;1.900556;0;transcription;?;1.900556;
2;;1.900556;0.384911;1.900556;silences;sounding;2.285467;
5;;1.900556;0.384911;1.900556;transcription;fresa;2.285467;
3;;2.285467;0.714533;2.285467;silences;silent;3;
6;;2.285467;0.714533;2.285467;transcription;?;3;
1;28;0;1.20712;0;silences;silent;1.20712;
4;;0;1.20712;0;transcription;?;1.20712;
2;;1.20712;0.44088;1.20712;silences;sounding;1.648;
5;;1.20712;0.44088;1.20712;transcription;fresa;1.648;
3;;1.648;1.352;1.648;silences;silent;3;
6;;1.648;1.352;1.648;transcription;?;3;
1;29;0;3;0;silences;sounding;3;
2;;0;3;0;transcription; [type];3;
1;30;0;1.224;0;silences;silent;1.224;
4;;0;1.224;0;transcription;?;1.224;
2;;1.224;0.461926;1.224;silences;sounding;1.685926;
5;;1.224;0.461926;1.224;transcription;traje;1.685926;
3;;1.685926;1.314074;1.685926;silences;silent;3;
6;;1.685926;1.314074;1.685926;transcription;?;3;
;;;;;;;;
;;;;;;;;
;;;;;; ;;
