line	trial_count	RT	Duration	tmin	tier	text	tmax
1	16	0,000	#VALUE!	0	silences	silent	0.483161
4		0,000	#VALUE!	0	transcription	[mic sound]	0.483161
2		0,483	0,657	0,483	silences	sounding	1,140
5		0.483161	#VALUE!	0.483161	transcription	cuerda	1.140.469
3		1140469,000	1859531,000	1.140.469	silences	silent	3.000.000
6		1140469,000	1859531,000	1.140.469	transcription	?	3.000.000
1	17	0,000	3010000,000	0	silences	sounding	3.010.000
2		0,000	3,010	0,000	transcription	[type]	3,010
1	18	0,000	#VALUE!	0	silences	silent	0.948673
4		0,000	#VALUE!	0	transcription	[articulation]	0.948673
2		0,949	0,479	0,949	silences	sounding	1,428
5		0.948673	#VALUE!	0.948673	transcription	falda	1.428.079
3		1428079,000	1611921,000	1.428.079	silences	silent	3.040.000
6		1428079,000	1611921,000	1.428.079	transcription	?	3.040.000
1	19	0,000	#VALUE!	0	silences	silent	0.630247
4		0,000	#VALUE!	0	transcription	[articulation]	0.630247
2		0,630	0,491	0,630	silences	sounding	1,121
5		0.630247	#VALUE!	0.630247	transcription	falda	1.120.962
3		1120962,000	1889038,000	1.120.962	silences	silent	3.010.000
6		1120962,000	1889038,000	1.120.962	transcription	?	3.010.000
1	20	0,000	3040000,000	0	silences	sounding	3.040.000
2		0,000	3,040	0,000	transcription	[type]	3,040
1	21	0,000	3010000,000	0	silences	sounding	3.010.000
2		0,000	3,010	0,000	transcription	[type]	3,010
1	22	0,000	#VALUE!	0	silences	silent	0.729012
4		0,000	#VALUE!	0	transcription	[articulation]	0.729012
2		0,729	0,492	0,729	silences	sounding	1,221
5		0.729012	#VALUE!	0.729012	transcription	vaso	1.221.284
3		1221284,000	1818716,000	1.221.284	silences	silent	3.040.000
6		1221284,000	1818716,000	1.221.284	transcription	?	3.040.000
1	23	0,000	#VALUE!	0	silences	silent	0.715295
4		0,000	#VALUE!	0	transcription	?	0.715295
2		0,715	0,655	0,715	silences	sounding	1,371
5		0.715295	#VALUE!	0.715295	transcription	manzana	1.370.645
3		1370645,000	1639355,000	1.370.645	silences	silent	3.010.000
6		1370645,000	1639355,000	1.370.645	transcription	?	3.010.000
1	24	0,000	3050000,000	0	silences	sounding	3.050.000
2		0,000	3,050	0,000	transcription	[type_breath]	3,050
1	25	0,000	#VALUE!	0	silences	silent	0.765736
4		0,000	#VALUE!	0	transcription	[breath]	0.765736
2		0,766	0,654	0,766	silences	sounding	1,420
5		0.765736	#VALUE!	0.765736	transcription	granja	1.420.143
3		1420143,000	1629857,000	1.420.143	silences	silent	3.050.000
6		1420143,000	1629857,000	1.420.143	transcription	?	3.050.000
1	26	0,000	3040000,000	0	silences	sounding	3.040.000
2		0,000	3,040	0,000	transcription	[type]	3,040
1	27	0,000	#VALUE!	0	silences	silent	0.850108
4		0,000	#VALUE!	0	transcription	[tongue]	0.850108
2		0,850	0,587	0,850	silences	sounding	1,437
5		0.850108	#VALUE!	0.850108	transcription	goma	1.436.626
3		1436626,000	1563374,000	1.436.626	silences	silent	3.000.000
6		1436626,000	1563374,000	1.436.626	transcription	[breath]	3.000.000
1	28	0,000	#VALUE!	0	silences	silent	0.735701
4		0,000	#VALUE!	0	transcription	[articulation]	0.735701
2		0,736	0,825	0,736	silences	sounding	1,561
5		0.735701	#VALUE!	0.735701	transcription	go...mano	1.560.889
3		1560889,000	1439111,000	1.560.889	silences	silent	3.000.000
6		1560889,000	1439111,000	1.560.889	transcription	[breath]	3.000.000
1	29	0,000	#VALUE!	0	silences	silent	0.974542
4		0,000	#VALUE!	0	transcription	[articulation]	0.974542
2		0,975	0,671	0,975	silences	sounding	1,645
5		0.974542	#VALUE!	0.974542	transcription	aguja	1.645.387
3		1645387,000	1354613,000	1.645.387	silences	silent	3.000.000
6		1645387,000	1354613,000	1.645.387	transcription	[breath]	3.000.000
1	30	0,000	3010000,000	0	silences	sounding	3.010.000
2		0,000	3,010	0,000	transcription	[type_breath]	3,010
		0,000	0,000		 		
