line	trial_count	RT	Duration	tmin	tier	text	tmax		
2		1,886	0,466	1,886	silences	sounding	2,352		
5		1886394	465761,00	1.886.394	transcription	taza	2.352.155		
3		2352155	687845,00	2.352.155	silences	silent	3.040.000		
6		2352155	687845,00	2.352.155	transcription	[breath out]	3.040.000		
1	15	0	3000000,00	0	silences	sounding	3.000.000		
2		0,000	3,000	0	transcription	[type]	3,000		
1	16	0	3010000,00	0	silences	sounding	3.010.000		
2		0,000	3,010	0	transcription	[type]	3,010		
1	17	0	2081054,00	0	silences	silent	2.081.054		
4		0	2081054,00	0	transcription	[tongue tap]	2.081.054		
2		2,081	0,600	2,081	silences	sounding	2,681		
5		2081054	599958,00	2.081.054	transcription	camisa	2.681.012		
3		2681012	358988,00	2.681.012	silences	silent	3.040.000		
6		2681012	358988,00	2.681.012	transcription	?	3.040.000		
1	18	0	3010000,00	0	silences	sounding	3.010.000		
2		0,000	3,010	0	transcription	[type]	3,010		
1	19	0	3040000,00	0	silences	sounding	3.040.000		
2		0,000	3,040	0	transcription	[type]	3,040		
1	20	0	1078065,00	0	silences	silent	1.078.065		
4		0	1078065,00	0	transcription	[breath out]	1.078.065		
2		1,078	0,652	1,078	silences	sounding	1,730		
5		1078065	652227,00	1.078.065	transcription	regalo	1.730.292		
3		1730292	1279708,00	1.730.292	silences	silent	3.010.000		
6		1730292	1279708,00	1.730.292	transcription	[breath out]	3.010.000		
1	21	0	3040000,00	0	silences	sounding	3.040.000		
2		0,000	3,040	0	transcription	[type]	3,040		
1	22	0	1257000,00	0	silences	silent	1.257.000		
4		0	1257000,00	0	transcription	[tongue tap]	1.257.000		
2		1,257	0,685	1,257	silences	sounding	1,942		
5		1257000	684843,00	1.257.000	transcription	espalda	1.941.843		
3		1941843	1068157,00	1.941.843	silences	silent	3.010.000		
6		1941843	1068157,00	1.941.843	transcription	?	3.010.000		
1	23	0	3040000,00	0	silences	sounding	3.040.000		
2		0,000	3,040	0	transcription	[type]	3,040		
1	24	0	3010000,00	0	silences	sounding	3.010.000		
2		0,000	3,010	0	transcription	[type]	3,010		
1	25	0	1177000,00	0	silences	silent	1.177.000		
4		0	1177000,00	0	transcription	?	1.177.000		
2		1,177	0,622	1,177	silences	sounding	1,799		
5		1177000	622006,00	1.177.000	transcription	puente	1.799.006		
3		1799006	1250994,00	1.799.006	silences	silent	3.050.000		
6		1799006	1250994,00	1.799.006	transcription	?	3.050.000		
1	26	0	3050000,00	0	silences	sounding	3.050.000		
2		0,000	3,050	0	transcription	[type]	3,050		
1	27	0	3040000,00	0	silences	sounding	3.040.000		
2		0,000	3,040	0	transcription	[type]	3,040		
1	28	0	1080554,00	0	silences	silent	1.080.554		
4		0	1080554,00	0	transcription	[tongue tap]	1.080.554		
2		1,081	0,690	1,081	silences	sounding	1,771		
5		1080554	690092,00	1.080.554	transcription	vaso	1.770.646		
3		1770646	1239354,00	1.770.646	silences	silent	3.010.000		
6		1770646	1239354,00	1.770.646	transcription	[breath in]	3.010.000		
1	29	0	3040000,00	0	silences	sounding	3.040.000		
2		0,000	3,040	0	transcription	[type]	3,040		
1	30	0	3010000,00	0	silences	sounding	3.010.000		
2		0,000	3,010	0	transcription	[type]	3,010		
