Filename;Transcription;Duration(ms.);SOT;Modality_Correct;Item_Correct;Hesitation;Notes;Exclude
recording_V1L1_p000101_tr145_speak_cuerda;cuerda;524.691;910.624;;0;;;
recording_V1L1_p000101_tr146_type_puente;[type];3000;0;;;;;
recording_V1L1_p000101_tr147_speak_falda;falda;472.226;1145.648;;0;;;
recording_V1L1_p000101_tr148_speak_falda;falda;553.52;739.467;;0;;;
recording_V1L1_p000101_tr149_type_espalda;[type];3050;0;;;;;
recording_V1L1_p000101_tr150_speak_vaso;vaso;380.893;948.607;;0;;;
recording_V1L1_p000101_tr151_speak_manzana;manzana;679.534;833.839;/mansana/;0;;;
recording_V1L1_p000101_tr152_type_manzana;[type];3040;0;;;;;
recording_V1L1_p000101_tr153_speak_escoba;escoba;702;733.118;;0;;;
recording_V1L1_p000101_tr154_type_manzana;[type];3000;0;;;;;
recording_V1L1_p000101_tr155_type_goma;[type];3000;0;;;;;
recording_V1L1_p000101_tr156_speak_goma;goma;399.626;1445.993;;0;;;
recording_V1L1_p000101_tr157_speak_granja;granja;554.369;1130.391;;0;;;
recording_V1L1_p000101_tr158_speak_aguja;aguja;644.184;962.529;;0;;;
recording_V1L1_p000101_tr159_type_aguja;[type];3000;0;;;;;
recording_V1L1_p000101_tr160_type_cadena;[type];3000;0;;;;;
recording_V1L1_p000101_tr161_type_iglesia;[type];3000;0;;;;;
recording_V1L1_p000101_tr162_speak_iglesia;iglesia;842.336;864.35;vocal fold vibration 0.09ms before the SOT;0;;;
recording_V1L1_p000101_tr163_type_pintor;[type];3040;0;breathing at the beginning of the trial;;;;
recording_V1L1_p000101_tr164_speak_conejo;conejo;448.33;1078.625;tongue ;0;;;
recording_V1L1_p000101_tr165_speak_conejo;conejo;488;1024;/ts/ sound before word production;0;;;
recording_V1L1_p000101_tr166_speak_cerdo;cerdo;625.04;866.848;;0;;;
recording_V1L1_p000101_tr167_type_caracol;[type];3050;0;;;;;
recording_V1L1_p000101_tr168_speak_guante;guante;491.583;1329.232;;0;;;
recording_V1L1_p000101_tr169_speak_guante;guante;477.49;1009.13;;0;;;
recording_V1L1_p000101_tr170_speak_cartero;cartero;562.928;1144;tongue;0;;;
recording_V1L1_p000101_tr171_type_cartero;[type];3000;0;;;;;
recording_V1L1_p000101_tr172_speak_cuerda;cuerda ;507.865;1376.683;;0;;;
recording_V1L1_p000101_tr173_type_tronco;[type];3040;0;;;;;
recording_V1L1_p000101_tr174_type_oreja;[type];3000;0;;;;;
recording_V1L1_p000101_tr175_type_oreja;[type];3000;0;;;;;
recording_V1L1_p000101_tr176_speak_falda;falda;573.213;1315.802;tongue;0;;;
recording_V1L1_p000101_tr177_type_miel;[type];3040;0;;;;;
recording_V1L1_p000101_tr179_type_mano;[type];3000;0;;;;;
recording_V1L1_p000101_tr180_speak_goma;goma;460.898;996.102;;0;;;
recording_V1L1_p000101_tr181_type_pierna;[type];3040;0;;;;;
recording_V1L1_p000101_tr182_type_pierna;[type];3010;0;;;;;
recording_V1L1_p000101_tr183_type_pulpo;[type];3040;0;;;;;
recording_V1L1_p000101_tr184_speak_pulpo;pulpo;431.613;1057.465;;0;;;
recording_V1L1_p000101_tr185_type_aguja;[type];3050;0;;;;;
recording_V1L1_p000101_tr186_speak_taza;taza;437.586;1605.845;;0;;;
recording_V1L1_p000101_tr187_speak_taza;taza;443.855;807.241;/tasa/ here /ta¸a/ previous trial;0;;;
recording_V1L1_p000101_tr188_speak_baño;baño;450.363;853.637;;0;;;
recording_V1L1_p000101_tr189_type_baño;[type];3010;0;;;;;
recording_V1L1_p000101_tr190_speak_iglesia;iglesia;716.311;1082.439;;0;;;
recording_V1L1_p000101_tr191_type_bombero;[type];3010;0;;;;;
recording_V1L1_p000101_tr192_speak_bombero;bombero;588.071;792.906;;0;;;
recording_V1L1_p000101_tr193_type_guante;[type];3010;0;;;;;
recording_V1L1_p000101_tr194_speak_conejo;conejo;455.559;1140.433;;0;;;
recording_V1L1_p000101_tr195_speak_vaca;vaca;502.964;816.557;;0;;;
recording_V1L1_p000101_tr197_type_cartero;[type];3010;0;;;;;
recording_V1L1_p000101_tr198_speak_oreja;oreja;548.483;1097;tongue;0;;;
recording_V1L1_p000101_tr199_speak_regalo;regalo;599.812;1014.4;tongue;0;;;
recording_V1L1_p000101_tr200_type_regalo;[type];3050;0;;;;;
recording_V1L1_p000101_tr201_type_camisa;[type];3040;0;;;;;
recording_V1L1_p000101_tr202_type_camisa;[type];3000;0;;;;;
recording_V1L1_p000101_tr203_speak_espejo;espejo;602.448;1140.265;tongue;0;;;
recording_V1L1_p000101_tr204_type_miel;[type];3000;0;;;;;
recording_V1L1_p000101_tr205_speak_tronco;tronco;493.15;985;;0;;;
recording_V1L1_p000101_tr206_type_espejo;[type];3050;0;;;;;
recording_V1L1_p000101_tr207_speak_regalo;regalo;544;872;;0;;;
recording_V1L1_p000101_tr208_speak_vaso;vaso;504.096;903.175;;0;;;
recording_V1L1_p000101_tr209_speak_vaso;vaso;470.49;687.223;;0;;;
recording_V1L1_p000101_tr210_type_taza;[type];3000;0;;;;;
recording_V1L1_p000101_tr211_speak_cazador;cazador;571.442;1129;tongue;0;;;
recording_V1L1_p000101_tr212_speak_cazador;cazador;580.807;680;tongue;0;;;
recording_V1L1_p000101_tr213_type_baño;[type];3010;0;;;;;
recording_V1L1_p000101_tr214_speak_espalda;espalda;613.732;962.518;;0;;;
recording_V1L1_p000101_tr215_type_espalda;[type];3050;0;;;;;
recording_V1L1_p000101_tr216_type_camisa;[type];3040;0;;;;;
recording_V1L1_p000101_tr217_type_puente;[type];3000;0;;;;;
recording_V1L1_p000101_tr218_speak_puente;puente;479.444;832;;0;;;
recording_V1L1_p000101_tr219_speak_muñeca;muñeca;636.032;739.614;;0;;;
recording_V1L1_p000101_tr220_type_muñeca;[type];3010;0;;;;;
recording_V1L1_p000101_tr221_speak_vaca;vaca;472.32;928.984;;0;;;
recording_V1L1_p000101_tr222_speak_pulpo;pulpo;447.109;1176;;0;;;
recording_V1L1_p000101_tr223_type_fresa;[type];3010;0;;;;;
recording_V1L1_p000101_tr224_type_fresa;[type];3050;0;;;;;
recording_V1L1_p000101_tr225_speak_pierna;pierna;476.763;1341.214;;0;;;
recording_V1L1_p000101_tr226_speak_bombero;bombero;689.554;740.568;;0;;;
recording_V1L1_p000101_tr227_type_traje;[type];3000;0;;;;;
recording_V1L1_p000101_tr228_type_traje;[type];3000;0;;;;;
recording_V1L1_p000101_tr229_type_pavo;[type];3000;0;;;;;
recording_V1L1_p000101_tr230_speak_pavo;pavo;344.516;1064;breath after word production;0;;;
recording_V1L1_p000101_tr231_speak_vaso;vaso;508.274;978.618;;0;;;
recording_V1L1_p000101_tr232_type_traje;[/traje/ type];768;849;spoke first, typed then;1;;;
recording_V1L1_p000101_tr233_type_cerdo;[type];3040;0;;;;;
recording_V1L1_p000101_tr234_type_cerdo;[type];3000;0;;;;;
recording_V1L1_p000101_tr235_speak_cazador;cazador;508.274;1163.445;;0;;;
recording_V1L1_p000101_tr236_type_manzana;[type];3040;0;;;;;
recording_V1L1_p000101_tr237_type_manzana;[type];3010;0;;;;;
recording_V1L1_p000101_tr238_type_cuerda;[type];3040;0;;;;;
recording_V1L1_p000101_tr239_speak_cuerda;cuerda;485.795;868.371;;0;;;
recording_V1L1_p000101_tr240_speak_espalda;espalda;686.135;1291.078;;0;;;
recording_V1L1_p000101_tr241_speak_granja;granja;561.686;1145;;0;;;
recording_V1L1_p000101_tr242_type_granja;[type];3050;0;;;;;
recording_V1L1_p000101_tr243_type_muñeca;[type];3040;0;;;;;
recording_V1L1_p000101_tr244_type_falda;[type];3000;0;;;;;
recording_V1L1_p000101_tr245_speak_falda;falda;588.734;940.516;;0;;;
recording_V1L1_p000101_tr246_speak_caracol;caracol;534.794;1057;;0;;;
recording_V1L1_p000101_tr247_speak_caracol;caracol;563.791;993.417;;0;;;
recording_V1L1_p000101_tr248_type_fresa;[type];3000;0;;;;;
recording_V1L1_p000101_tr249_speak_pintor;pintor;445.285;1158.024;breath before production;0;;;
recording_V1L1_p000101_tr250_speak_pintor;pintor;441.862;870.813;;0;;;
recording_V1L1_p000101_tr251_type_puente;[type];3000;0;;;;;
recording_V1L1_p000101_tr252_speak_pavo;pavo;342.699;1096;;0;;;
recording_V1L1_p000101_tr253_speak_mano;mano;441.862;872.058;;0;;;
recording_V1L1_p000101_tr254_type_mano;[type];3010;0;;;;;
recording_V1L1_p000101_tr255_type_cerdo;[type];3040;0;;;;;
recording_V1L1_p000101_tr256_type_aguja;[type];3000;0;;;;;
recording_V1L1_p000101_tr257_speak_aguja;aguja;592;776;;0;;;
recording_V1L1_p000101_tr258_speak_manzana;manzana;588.187;724.813;chair sound?;0;;;
recording_V1L1_p000101_tr259_speak_conejo;conejo;494.411;849;;0;;;
recording_V1L1_p000101_tr260_type_conejo;[type];3050;0;;;;;
recording_V1L1_p000101_tr261_type_miel;[type];3040;0;;;;;
recording_V1L1_p000101_tr262_speak_miel;miel;349.36;1367.316;;0;;;
recording_V1L1_p000101_tr263_type_falda;[type];3050;0;;;;;
recording_V1L1_p000101_tr264_speak_goma;goma;374.284;1062.156;tongue;0;;;
recording_V1L1_p000101_tr265_speak_goma;goma;527.123;620.01;/ngoma/;0;;;
recording_V1L1_p000101_tr266_type_caracol;[type];3000;0;;;;;
recording_V1L1_p000101_tr267_speak_iglesia;iglesia;664.086;1715.428;;0;;;
recording_V1L1_p000101_tr268_speak_iglesia;iglesia;755.648;820.479;;0;;;
recording_V1L1_p000101_tr269_speak_oreja;oreja;633.157;1239.623;;0;;;
recording_V1L1_p000101_tr270_type_oreja;[type];3040;0;;;;;
recording_V1L1_p000101_tr271_speak_cuerda;cuerda;434.394;1554.144;;0;;;
recording_V1L1_p000101_tr272_type_granja;[type];3000;0;;;;;
recording_V1L1_p000101_tr273_type_cartero;[type];3000;0;;;;;
recording_V1L1_p000101_tr274_type_cartero;[type];3010;0;;;;;
recording_V1L1_p000101_tr275_speak_mano;mano;422.652;913.166;;0;;;
recording_V1L1_p000101_tr276_type_guante;[type];3050;0;;;;;
recording_V1L1_p000101_tr277_type_guante;[type];3040;0;;;;;
recording_V1L1_p000101_tr278_speak_pintor;pintor;546.652;929;;0;;;
recording_V1L1_p000101_tr280_type_taza;[type];3000;0;;;;;
recording_V1L1_p000101_tr281_speak_aguja;aguja;685.82;1000.26;;0;;;
recording_V1L1_p000101_tr282_type_regalo;[type];3000;0;;;;;
recording_V1L1_p000101_tr283_speak_regalo;regalo;655.636;776.76;tongue, breath after;0;;;
recording_V1L1_p000101_tr284_speak_baño;baño;478.628;859.117;tongue;0;;;
recording_V1L1_p000101_tr285_speak_baño;baño;451.819;707.425;tongue;0;;;
recording_V1L1_p000101_tr287_speak_miel;miel;446.001;1144;;0;;;
recording_V1L1_p000101_tr288_speak_camisa;camisa;544.512;1081;;0;;;
recording_V1L1_p000101_tr289_type_camisa;[type];3050;0;;;;;
recording_V1L1_p000101_tr290_type_vaca;[type];3050;0;;;;;
recording_V1L1_p000101_tr291_speak_vaca;vaca;489.376;779.63;;0;;;
recording_V1L1_p000101_tr292_type_goma;[type];3000;0;;;;;
recording_V1L1_p000101_tr293_speak_pulpo;pulpo;463.293;1056;;0;;;
recording_V1L1_p000101_tr294_speak_pulpo;pulpo;488;849;;0;;;
recording_V1L1_p000101_tr295_type_iglesia;[type];3050;0;;;;;
recording_V1L1_p000101_tr296_speak_guante;guante ;532.259;942.966;;0;;;
recording_V1L1_p000101_tr298_type_pierna;[type];3010;0;;;;;
recording_V1L1_p000101_tr299_speak_tenedor;tenedor;506.171;1242.177;;0;;;
recording_V1L1_p000101_tr300_type_oreja;[type];3040;0;;;;;
recording_V1L1_p000101_tr301_speak_columna;columna;596.144;1192;tongue;0;;;
recording_V1L1_p000101_tr302_type_cartero;[type];3000;0;;;;;
recording_V1L1_p000101_tr303_type_bombero;[type];3000;0;;;;;
recording_V1L1_p000101_tr304_type_bombero;[type];3000;0;;;;;
recording_V1L1_p000101_tr305_speak_cadena;cadena;510.32;1091.122;;0;;;
recording_V1L1_p000101_tr306_type_escoba;[type];3010;0;;;;;
recording_V1L1_p000101_tr307_type_pierna;[type];3040;0;;;;;
recording_V1L1_p000101_tr308_speak_taza;taza;412.136;1081;;0;;;
recording_V1L1_p000101_tr309_speak_pavo;pavo;347.238;1105;;0;;;
recording_V1L1_p000101_tr310_speak_pavo;pavo;365.055;649;;0;;;
recording_V1L1_p000101_tr311_type_vaca;[type];3040;0;;;;;
recording_V1L1_p000101_tr312_speak_espalda;espalda;723.412;749.828;;0;;;
recording_V1L1_p000101_tr313_speak_espalda;espalda;808.463;603.499;;0;;;
recording_V1L1_p000101_tr314_type_pulpo;[type];3040;0;;;;;
recording_V1L1_p000101_tr315_speak_vaso;vaso;470.558;928;;0;;;
recording_V1L1_p000101_tr316_type_vaso;[type];3010;0;;;;;
recording_V1L1_p000101_tr317_type_regalo;[type];3040;0;;;;;
recording_V1L1_p000101_tr318_type_traje;[type];3000;0;;;;;
recording_V1L1_p000101_tr319_speak_traje;traje;464.258;838.46;;0;;;
recording_V1L1_p000101_tr320_speak_fresa;fresa;657.276;719.724;;0;;;
recording_V1L1_p000101_tr321_type_fresa;[type];3050;0;;;;;
recording_V1L1_p000101_tr322_type_bombero;[type];3040;0;;;;;
recording_V1L1_p000101_tr323_speak_camisa;camisa;515.298;816.67;;0;;;
recording_V1L1_p000101_tr324_type_muñeca;[type];3010;0;;;;;
recording_V1L1_p000101_tr325_type_muñeca;[type];3040;0;;;;;
recording_V1L1_p000101_tr326_speak_baño;baño;536.854;857;;0;;;
recording_V1L1_p000101_tr327_type_puente;[type];3040;0;;;;;
recording_V1L1_p000101_tr328_type_puente;[type];3010;0;;;;;
recording_V1L1_p000101_tr329_type_cazador;[type];3040;0;;;;;
recording_V1L1_p000101_tr330_speak_cazador;cazador;531.537;872;;0;;;
recording_V1L1_p000101_tr331_type_pavo;[type];3000;0;;;;;
recording_V1L1_p000101_tr332_type_falda;[type];3000;0;;;;;
recording_V1L1_p000101_tr333_type_falda;[type];3010;0;;;;;
recording_V1L1_p000101_tr334_speak_puente;puente;399.825;1600.091;;0;;;
recording_V1L1_p000101_tr335_type_cuerda;[type];3010;0;;;;;
recording_V1L1_p000101_tr336_type_cuerda;[type];3050;0;;;;;
recording_V1L1_p000101_tr337_type_espalda;[type];3050;0;;;;;
recording_V1L1_p000101_tr338_speak_tenedor;tenedor;435.798;1329;;0;;;
recording_V1L1_p000101_tr339_type_vaso;[type];3050;0;;;;;
recording_V1L1_p000101_tr340_type_manzana;[type];3050;0;;;;;
recording_V1L1_p000101_tr341_speak_manzana;manzana;594.524;894.476;;0;;;
recording_V1L1_p000101_tr342_speak_traje;traje;466.768;1193;;0;;;
recording_V1L1_p000101_tr343_speak_caracol;caracol;564.025;1296;tongue;0;;;
recording_V1L1_p000101_tr344_type_caracol;[type];3000;0;;;;;
recording_V1L1_p000101_tr345_type_fresa;[type];3000;0;;;;;
recording_V1L1_p000101_tr346_type_cerdo;[type];3010;0;;;;;
recording_V1L1_p000101_tr347_speak_cerdo;cerdo;607.936;865.397;;0;;;
recording_V1L1_p000101_tr348_speak_mano;mano;453.963;994.037;;0;;;
recording_V1L1_p000101_tr349_speak_mano;mano;371.354;772.646;;0;;;
recording_V1L1_p000101_tr350_type_muñeca;[type];3000;0;;;;;
recording_V1L1_p000101_tr351_speak_granja;granja;512.957;1248.053;;0;;;
recording_V1L1_p000101_tr352_speak_granja;granja;572.786;689.283;;0;;;
recording_V1L1_p000101_tr353_type_tronco;[type];3000;0;;;;;
recording_V1L1_p000101_tr354_speak_cazador;cazador;634.718;1136;tongue, tech sound after;0;;;
recording_V1L1_p000101_tr355_speak_pintor;pintor;497.5;944;;0;;;
recording_V1L1_p000101_tr356_type_pintor;[type];3010;0;;;;;
recording_V1L1_p000101_tr357_speak_columna;columna;574.504;1239.646;;0;;;
recording_V1L1_p000101_tr358_type_oreja;[type];3050;0;;;;;
recording_V1L1_p000101_tr359_speak_oreja;oreja;501.988;1134.68;;0;;;
recording_V1L1_p000101_tr360_speak_falda;/fal[da]/;145;2865;item accuracy from the back-up file, included, NR duration;0;;;
recording_V1L1_p000101_tr361_speak_guante;guante;518.385;871.073;tech sound beginning;0;;;
recording_V1L1_p000101_tr362_type_guante;[type];3010;0;;;;;
recording_V1L1_p000101_tr363_type_cuerda;[/cuer../ type];144;2896;typed correctly, then spoke towards the end of the trial;1;;;
recording_V1L1_p000101_tr365_speak_conejo;conejo;463.698;1400;;0;;;
recording_V1L1_p000101_tr366_type_manzana;[type];3000;0;;;;;
recording_V1L1_p000101_tr367_speak_cartero;cartero;513.019;1105;tongue;0;;;
recording_V1L1_p000101_tr368_speak_cartero;cartero;526.088;864;;0;;;
recording_V1L1_p000101_tr369_speak_caracol;caracol;532.724;1748.636;;0;;;
recording_V1L1_p000101_tr370_type_cerdo;[type];3010;0;;;;;
recording_V1L1_p000101_tr371_speak_miel;miel;429.354;1312;;0;;;
recording_V1L1_p000101_tr372_speak_miel;miel;432.24;1175.76;;0;;;
recording_V1L1_p000101_tr373_speak_iglesia;iglesia;678.654;1002.346;;0;;;
recording_V1L1_p000101_tr374_type_iglesia;[type];3040;0;;;;;
recording_V1L1_p000101_tr375_speak_granja;granja;515.767;1305.812;;0;;;
recording_V1L1_p000101_tr376_type_mano;[type];3040;0;;;;;
recording_V1L1_p000101_tr377_type_goma;[type];3000;0;;;;;
recording_V1L1_p000101_tr378_type_goma;[type];3010;0;;;;;
recording_V1L1_p000101_tr379_speak_pintor;pintor;464.016;904;;0;;;
recording_V1L1_p000101_tr380_type_aguja;[type];3000;0;;;;;
recording_V1L1_p000101_tr381_type_aguja;[type];3000;0;;;;;
recording_V1L1_p000101_tr382_type_guante;[type];3010;0;;;;;
recording_V1L1_p000101_tr383_speak_espejo;espejo;617.395;792.243;;0;;;
recording_V1L1_p000101_tr384_speak_goma;goma;443.729;1829.218;;0;;;
recording_V1L1_p000101_tr385_type_regalo;[type];3010;0;;;;;
recording_V1L1_p000101_tr386_type_regalo;[type];3040;0;;;;;
recording_V1L1_p000101_tr387_type_pierna;[type];3010;0;;;;;
recording_V1L1_p000101_tr388_speak_pierna;pierna;555.436;1056.925;;0;;;
recording_V1L1_p000101_tr389_type_conejo;[type];3010;0;;;;;
recording_V1L1_p000101_tr390_speak_camisa;camisa;489.403;1072;;0;;;
recording_V1L1_p000101_tr391_speak_camisa;camisa;544;745;/ts/ sound before word production;0;;;
recording_V1L1_p000101_tr392_speak_vaca;vaca;456.292;960.708;;0;;;
recording_V1L1_p000101_tr393_type_vaca;[type];3040;0;;;;;
recording_V1L1_p000101_tr394_speak_cartero;cartero;520.632;1112;;;;;
recording_V1L1_p000101_tr395_type_taza;[type];3000;0;;;;;
recording_V1L1_p000101_tr396_speak_taza;taza;376;904;;0;;;
recording_V1L1_p000101_tr397_type_cadena;[type];3010;0;;;;;
recording_V1L1_p000101_tr398_speak_miel;miel;386.839;1057;;0;;;
recording_V1L1_p000101_tr399_speak_bombero;bombero;654.802;944.818;;0;;;
recording_V1L1_p000101_tr400_speak_bombero;bombero;573.271;824.27;tongue;0;;;
recording_V1L1_p000101_tr401_type_iglesia;[type];3000;0;;;;;
recording_V1L1_p000101_tr402_speak_oreja;oreja;560;816;tongue;0;;;
recording_V1L1_p000101_tr403_speak_pulpo;pulpo;560;1312;breath before, tech sound after;0;;;
recording_V1L1_p000101_tr404_type_pulpo;[type];3000;0;;;;;
recording_V1L1_p000101_tr405_speak_escoba;escoba;527.173;1545.994;breath before;0;;;
recording_V1L1_p000101_tr406_type_aguja;[type];3050;0;;;;;
recording_V1L1_p000101_tr407_type_baño;[type];3040;0;;;;;
recording_V1L1_p000101_tr408_type_baño;[type];3010;0;;;;;
